Word,Category,Real_Freq,Fake_Freq,KL_Divergence,Threshold_Exceeded,Effect_Size,Real_Vocab_Size,Fake_Vocab_Size
authorities,Journalism Core,11,11,13.391493962677817,True,133.91493962677816,78,66
spokesman,Journalism Core,13,11,12.674484540100876,True,126.74484540100875,79,70
apparently,Attribution,38,10,12.167317638772937,True,121.67317638772937,176,76
noted,Attribution,20,12,10.97620747978389,True,109.76207479783889,120,86
appears,Uncertainty,13,10,10.890767648183107,True,108.90767648183107,86,63
explained,Attribution,10,16,10.63668280896259,True,106.3668280896259,70,100
director,Entertainment,40,13,10.60823537691291,True,106.0823537691291,201,82
senator,Political,624,17,10.317077781713667,True,103.17077781713667,1167,113
based,Attribution,102,15,10.307900671076698,True,103.07900671076698,447,106
study,Journalism Core,29,14,10.05150649325917,True,100.5150649325917,155,96
voters,Political,119,12,10.043654680415727,True,100.43654680415727,460,90
secret,Conspiracy,27,16,9.985369769203366,True,99.85369769203366,155,112
sources,Journalism Core,33,29,9.669335388211474,True,96.69335388211474,160,164
announced,Journalism Core,39,18,9.633833752048275,True,96.33833752048275,216,123
reported,Journalism Core,29,33,9.35952399955935,True,93.5952399955935,172,174
seems,Uncertainty,59,16,9.062000628521778,True,90.62000628521777,279,94
added,Attribution,38,28,9.036268850411833,True,90.36268850411832,184,148
statement,Journalism Core,60,39,8.869485382274108,True,88.69485382274108,272,206
officials,Journalism Core,61,48,8.380940947533345,True,83.80940947533344,270,246
congress,Political,416,25,8.370455793393111,True,83.7045579339311,1094,158
senate,Political,260,24,8.323152194650259,True,83.23152194650258,718,128
investigation,Journalism Core,17,52,8.219314515130504,True,82.19314515130503,108,265
might,Uncertainty,112,34,8.211114186989947,True,82.11114186989947,483,205
truth,Conspiracy,51,12,7.612433345292624,True,76.12433345292624,172,78
according,Journalism Core,60,101,7.417391704593402,True,74.17391704593402,300,450
policy,Political,228,32,7.389252961689823,True,73.89252961689823,701,188
election,Political,160,48,7.188196731736298,True,71.88196731736298,533,235
administration,Journalism Core,299,67,6.606483914220773,True,66.06483914220772,845,294
campaign,Political,295,71,6.562476813633467,True,65.62476813633467,850,314
government,Journalism Core,588,90,6.327020595959927,True,63.27020595959927,1390,398
told,Attribution,120,94,5.846805897040289,True,58.468058970402886,436,439
could,Uncertainty,441,82,5.776975563015077,True,57.76975563015077,1211,428
house,Political,360,100,5.229229044479363,True,52.29229044479363,924,431
said,Attribution,1142,240,3.896693197627998,True,38.96693197627998,1913,930
president,Journalism Core,1453,266,3.8221591859911728,True,38.221591859911726,2116,880
